iter	Passed	Remaining
0	138	138761
1	139	69639
2	140	46647
3	141	35173
4	141	28246
5	142	23640
6	143	20346
7	144	17868
8	144	15949
9	145	14413
10	146	13162
11	147	12113
12	147	11218
13	148	10451
14	148	9784
15	149	9199
16	150	8685
17	150	8226
18	151	7821
19	152	7452
20	152	7123
21	153	6820
22	154	6542
23	154	6288
24	155	6055
25	155	5839
26	156	5638
27	157	5452
28	157	5278
29	158	5116
30	158	4969
31	159	4828
32	160	4697
33	161	4575
34	161	4457
35	162	4346
36	162	4241
37	163	4143
38	164	4049
39	165	3964
40	165	3879
41	166	3797
42	167	3718
43	167	3643
44	168	3570
45	168	3502
46	169	3436
47	170	3373
48	170	3313
49	171	3255
50	171	3199
51	172	3145
52	173	3094
53	173	3044
54	174	2995
55	174	2949
56	175	2904
57	176	2860
58	176	2820
59	177	2781
60	178	2742
61	179	2711
62	179	2674
63	180	2638
64	181	2604
65	181	2571
66	182	2538
67	182	2508
68	183	2478
69	184	2449
70	185	2422
71	185	2394
72	186	2368
73	187	2343
74	187	2317
75	188	2291
76	189	2266
77	189	2244
78	190	2221
79	191	2198
80	191	2176
81	192	2156
82	193	2133
83	193	2114
84	194	2094
85	195	2075
86	196	2058
87	196	2041
88	197	2023
89	198	2005
90	199	1988
91	199	1971
92	200	1954
93	201	1937
94	201	1921
95	202	1907
96	203	1891
97	203	1876
98	204	1860
99	205	1845
100	205	1831
101	206	1816
102	207	1803
103	207	1789
104	208	1777
105	209	1764
106	209	1751
107	210	1737
108	211	1725
109	211	1713
110	212	1701
111	213	1688
112	213	1677
113	214	1665
114	215	1655
115	215	1644
116	216	1632
117	216	1621
118	217	1610
119	218	1599
120	218	1590
121	219	1579
122	220	1569
123	220	1560
124	221	1551
125	222	1541
126	222	1531
127	223	1522
128	224	1514
129	224	1505
130	225	1496
131	226	1487
132	226	1479
133	227	1471
134	228	1463
135	229	1455
136	229	1447
137	230	1438
138	231	1430
139	231	1423
140	232	1415
141	232	1406
142	233	1398
143	234	1391
144	234	1383
145	235	1376
146	236	1369
147	236	1362
148	237	1355
149	237	1348
150	238	1341
151	239	1334
152	239	1328
153	240	1322
154	241	1315
155	242	1309
156	242	1303
157	243	1297
158	244	1290
159	244	1284
160	245	1277
161	245	1271
162	246	1266
163	247	1260
164	247	1254
165	248	1248
166	249	1242
167	249	1237
168	250	1231
169	251	1225
170	251	1219
171	252	1214
172	253	1209
173	253	1203
174	254	1198
175	254	1193
176	255	1188
177	256	1183
178	256	1177
179	257	1172
180	258	1168
181	258	1163
182	259	1158
183	260	1153
184	260	1148
185	261	1143
186	261	1138
187	262	1134
188	263	1129
189	263	1124
190	264	1120
191	265	1117
192	266	1112
193	266	1108
194	267	1104
195	268	1100
196	268	1095
197	269	1091
198	270	1088
199	270	1083
200	271	1080
201	272	1076
202	273	1071
203	273	1067
204	274	1063
205	275	1059
206	275	1055
207	276	1051
208	276	1048
209	277	1044
210	278	1040
211	278	1036
212	279	1033
213	280	1029
214	280	1025
215	281	1022
216	282	1018
217	282	1014
218	283	1010
219	284	1007
220	284	1003
221	285	1000
222	285	996
223	286	992
224	287	989
225	287	985
226	288	982
227	289	978
228	289	975
229	290	972
230	291	969
231	291	966
232	292	962
233	293	959
234	293	956
235	294	953
236	295	950
237	295	947
238	296	944
239	297	942
240	298	939
241	298	936
242	299	933
243	300	930
244	300	927
245	301	924
246	302	921
247	302	918
248	303	915
249	304	913
250	305	910
251	305	908
252	306	905
253	307	902
254	308	899
255	308	897
256	309	894
257	310	892
258	310	889
259	311	886
260	312	884
261	312	881
262	313	878
263	314	876
264	315	873
265	315	871
266	316	869
267	317	866
268	317	863
269	318	861
270	319	859
271	320	856
272	320	854
273	321	852
274	322	850
275	323	848
276	324	845
277	324	843
278	325	841
279	326	838
280	326	836
281	327	833
282	328	831
283	329	829
284	329	827
285	330	825
286	331	822
287	331	820
288	332	817
289	333	815
290	333	813
291	334	810
292	335	808
293	335	806
294	336	804
295	337	801
296	337	799
297	338	797
298	339	794
299	339	792
300	340	790
301	340	788
302	341	786
303	342	783
304	343	781
305	343	779
306	344	777
307	345	775
308	345	772
309	346	770
310	346	768
311	347	766
312	348	764
313	348	762
314	349	760
315	350	758
316	350	756
317	351	754
318	352	751
319	352	749
320	353	747
321	354	745
322	354	743
323	355	741
324	356	739
325	356	737
326	357	735
327	358	733
328	358	732
329	359	730
330	360	728
331	361	726
332	361	724
333	362	722
334	363	720
335	363	718
336	364	716
337	364	714
338	365	712
339	366	710
340	367	709
341	367	707
342	368	705
343	369	703
344	369	702
345	370	700
346	371	698
347	371	696
348	372	694
349	373	693
350	373	691
351	374	689
352	375	687
353	375	685
354	376	684
355	377	682
356	377	680
357	378	678
358	379	677
359	380	675
360	380	673
361	381	672
362	381	670
363	382	668
364	383	666
365	383	665
366	384	663
367	385	661
368	385	659
369	386	658
370	387	656
371	387	654
372	388	652
373	389	651
374	389	649
375	390	647
376	390	645
377	391	644
378	392	642
379	393	641
380	393	639
381	394	638
382	395	636
383	395	634
384	396	633
385	397	631
386	397	629
387	398	628
388	398	626
389	399	624
390	400	623
391	400	621
392	401	619
393	402	618
394	402	616
395	403	615
396	403	613
397	404	611
398	405	610
399	406	609
400	406	607
401	407	606
402	408	604
403	408	602
404	409	601
405	409	599
406	410	598
407	411	596
408	411	595
409	412	593
410	413	592
411	413	590
412	414	589
413	415	587
414	415	586
415	416	584
416	416	582
417	417	581
418	418	580
419	418	578
420	419	577
421	420	575
422	420	574
423	421	572
424	422	571
425	422	569
426	423	568
427	424	567
428	425	565
429	425	564
430	426	563
431	427	561
432	427	560
433	428	558
434	429	557
435	429	556
436	430	554
437	431	553
438	431	551
439	432	550
440	433	549
441	433	547
442	434	546
443	435	544
444	435	543
445	436	542
446	437	540
447	437	539
448	438	538
449	439	536
450	439	535
451	440	533
452	440	532
453	441	531
454	442	529
455	443	528
456	443	527
457	444	525
458	444	524
459	445	523
460	446	521
461	446	520
462	447	519
463	448	517
464	449	516
465	449	515
466	450	514
467	451	512
468	451	511
469	452	510
470	453	508
471	453	507
472	454	506
473	455	505
474	456	504
475	456	503
476	457	501
477	458	500
478	459	499
479	459	498
480	460	496
481	461	495
482	462	494
483	462	493
484	463	492
485	464	490
486	464	489
487	465	488
488	466	487
489	466	485
490	467	484
491	468	483
492	469	482
493	469	481
494	470	480
495	471	479
496	472	477
497	473	476
498	473	475
499	474	474
500	475	473
501	475	472
502	476	470
503	477	469
504	478	468
505	478	467
506	479	466
507	480	465
508	481	464
509	481	462
510	482	461
511	483	460
512	483	459
513	484	457
514	485	456
515	485	455
516	486	454
517	487	453
518	487	452
519	488	451
520	489	449
521	489	448
522	490	447
523	491	446
524	492	445
525	492	443
526	493	442
527	494	441
528	494	440
529	495	439
530	496	438
531	496	437
532	497	436
533	498	434
534	499	433
535	499	432
536	500	431
537	501	430
538	501	429
539	502	428
540	503	426
541	503	425
542	504	424
543	505	423
544	505	422
545	506	421
546	507	420
547	508	419
548	508	417
549	509	416
550	510	415
551	510	414
552	511	413
553	512	412
554	512	411
555	513	410
556	514	408
557	514	407
558	515	406
559	516	405
560	516	404
561	517	403
562	518	402
563	518	401
564	519	400
565	520	398
566	520	397
567	521	396
568	522	395
569	522	394
570	523	393
571	524	392
572	525	391
573	526	390
574	526	389
575	527	388
576	528	387
577	528	386
578	529	385
579	530	384
580	531	383
581	532	382
582	532	381
583	533	380
584	534	379
585	535	378
586	536	377
587	536	376
588	537	375
589	538	374
590	539	373
591	539	372
592	540	371
593	541	370
594	542	368
595	542	367
596	543	366
597	544	366
598	545	365
599	546	364
600	546	363
601	547	362
602	548	360
603	549	359
604	549	358
